filename,class_id,class_label,recording_dir,duration_s,sr,n_channels,file_size_mb,load_error
0/0_0/0_0_1.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_10.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_11.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_12.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_13.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_14.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_15.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_16.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_17.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_18.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_19.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_2.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_20.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_21.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_22.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_23.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_24.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_25.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_26.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_27.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_28.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_29.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_3.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_30.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_31.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_32.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
0/0_0/0_0_33.wav,0,A - Motorboats,0_0,5.0,16000,1,0.1526,False
